CustomerKey;Prefix;FirstName;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;AnnualIncome;TotalChildren;EducationLevel;Occupation;HomeOwner
11000;MR.;JON;YANG;8.04.1966;M;M;jon24@gmail.com;90000;2;Bachelors;Professional;Y
11001;MR.;EUGENE;HUANG;14.05.1965;S;M;eugene10@gmail.com;60000;3;Bachelors;Professional;N
11002;MR.;RUBEN;TORRES;12.08.1965;M;M;ruben35@gmail.com;60000;3;Bachelors;Professional;Y
11003;MS.;CHRISTY;ZHU;15.02.1968;S;F;christy12@gmail.com;70000;0;Bachelors;Professional;N
11004;MRS.;ELIZABETH;JOHNSON;8.08.1968;S;F;elizabeth5@gmail.com;80000;5;Bachelors;Professional;Y
11005;MR.;JULIO;RUIZ;5.08.1965;S;M;julio1@gmail.com;70000;0;Bachelors;Professional;Y
11007;MR.;MARCO;MEHTA;9.05.1964;M;M;marco14@gmail.com;60000;3;Bachelors;Professional;Y
11008;MRS.;ROBIN;VERHOFF;7.07.1964;S;F;rob4@gmail.com;60000;4;Bachelors;Professional;Y
11009;MR.;SHANNON;CARLSON;1.04.1964;S;M;shannon38@gmail.com;70000;0;Bachelors;Professional;N
11010;MS.;JACQUELYN;SUAREZ;6.02.1964;S;F;jacquelyn20@gmail.com;70000;0;Bachelors;Professional;N
11011;MR.;CURTIS;LU;4.11.1963;M;M;curtis9@gmail.com;60000;4;Bachelors;Professional;Y
11012;MRS.;LAUREN;WALKER;18.01.1968;M;F;lauren41@gmail.com;100000;2;Bachelors;Management;Y
11013;MR.;IAN;JENKINS;6.08.1968;M;M;ian47@gmail.com;100000;2;Bachelors;Management;Y
11014;MRS.;SYDNEY;BENNETT;9.05.1968;S;F;sydney23@gmail.com;100000;3;Bachelors;Management;N
11015;MS.;CHLOE;YOUNG;27.02.1979;S;F;chloe23@gmail.com;30000;0;Partial College;Skilled Manual;N
11016;MR.;WYATT;HILL;28.04.1979;M;M;wyatt32@gmail.com;30000;0;Partial College;Skilled Manual;Y
11017;MRS.;SHANNON;WANG;26.06.1944;S;F;shannon1@gmail.com;20000;4;High School;Skilled Manual;Y
11018;MR.;CLARENCE;RAI;9.10.1944;S;M;clarence32@gmail.com;30000;2;Partial College;Clerical;Y
11019;MR.;LUKE;LAL;7.03.1978;S;M;luke18@gmail.com;40000;0;High School;Skilled Manual;N
11020;MR.;JORDAN;KING;20.09.1978;S;M;jordan73@gmail.com;40000;0;High School;Skilled Manual;N
11021;MS.;DESTINY;WILSON;3.09.1978;S;F;destiny7@gmail.com;40000;0;Partial College;Skilled Manual;N
11022;MR.;ETHAN;ZHANG;12.10.1978;M;M;ethan20@gmail.com;40000;0;Partial College;Skilled Manual;Y
11023;MR.;SETH;EDWARDS;11.10.1978;M;M;seth46@gmail.com;40000;0;Partial College;Skilled Manual;Y
11024;MR.;RUSSELL;XIE;17.09.1978;M;M;russell7@gmail.com;60000;0;Partial College;Skilled Manual;Y
11025;;ALEJANDRO;BECK;23.12.1945;M;NA;alejandro45@gmail.com;10000;2;Partial High School;Clerical;Y
11026;MR.;HAROLD;SAI;3.04.1946;S;M;harold3@gmail.com;30000;2;Partial College;Clerical;N
11027;MR.;JESSIE;ZHAO;7.12.1946;M;M;jessie16@gmail.com;30000;2;Partial College;Clerical;Y
11028;MRS.;JILL;JIMENEZ;11.04.1946;M;F;jill13@gmail.com;30000;2;Partial College;Clerical;Y
11029;MR.;JIMMY;MORENO;21.12.1946;M;M;jimmy9@gmail.com;30000;2;Partial College;Clerical;Y
11030;MRS.;BETHANY;YUAN;22.02.1947;M;F;bethany10@gmail.com;10000;2;Partial High School;Clerical;Y
11031;MRS.;THERESA;RAMOS;22.08.1947;M;F;theresa13@gmail.com;20000;4;High School;Skilled Manual;Y
11032;MRS.;DENISE;STONE;11.06.1947;M;F;denise10@gmail.com;20000;4;High School;Skilled Manual;Y
11033;MR.;JAIME;NATH;23.09.1947;M;M;jaime41@gmail.com;20000;4;High School;Skilled Manual;Y
11034;MRS.;EBONY;GONZALEZ;19.06.1947;M;F;ebony19@gmail.com;20000;4;High School;Skilled Manual;Y
11035;;WENDY;DOMINGUEZ;24.02.1948;M;NA;wendy12@gmail.com;10000;2;Partial High School;Clerical;Y
11036;MS.;JENNIFER;RUSSELL;18.12.1978;M;F;jennifer93@gmail.com;60000;0;Partial College;Skilled Manual;Y
11037;MS.;CHLOE;GARCIA;27.11.1977;S;F;chloe27@gmail.com;40000;0;Partial High School;Clerical;N
11038;MRS.;DIANA;HERNANDEZ;23.03.1948;M;F;diana2@gmail.com;10000;2;Partial High School;Clerical;Y
11039;MR.;MARC;MARTIN;17.12.1948;M;M;marc3@gmail.com;30000;3;Partial College;Clerical;Y
11040;MR.;JESSE;MURPHY;1.08.1977;M;M;jesse15@gmail.com;30000;0;Partial College;Skilled Manual;Y
11041;MS.;AMANDA;CARTER;16.10.1977;M;F;amanda53@gmail.com;60000;0;Partial College;Skilled Manual;Y
11042;MS.;MEGAN;SANCHEZ;13.06.1977;M;F;megan28@gmail.com;70000;0;Partial College;Skilled Manual;Y
11043;MR.;NATHAN;SIMMONS;24.02.1976;M;M;nathan11@gmail.com;60000;0;Partial College;Skilled Manual;Y
